artist,image_url,website_url,wiki_url,wiki_extract
A Perfect Circle,https://upload.wikimedia.org/wikipedia/commons/9/99/A_Perfect_Circle_Lollapalooza_Chile_2013.jpg,,https://en.wikipedia.org/wiki/A_Perfect_Circle,"A Perfect Circle is an American rock supergroup formed in Los Angeles, California, in 1999 by guitarist Billy Howerdel and Tool vocalist Maynard James Keenan. A Perfect Circle released three of their four studio albums in the early 2000s: their debut Mer de Noms in 2000; a follow-up, Thirteenth Step, in 2003; and an album of radically re-worked cover songs, Emotive, in 2004. Shortly after Emotive'"
AC/DC,https://upload.wikimedia.org/wikipedia/commons/e/e0/AC_DC_Black_Ice_Tour_2009_Buenos_Aires_4_de_Diciembre_%284238680962%29.jpg,,https://en.wikipedia.org/wiki/AC%2FDC,"AC/DC are an Australian rock band formed in Sydney in 1973. Their music has been variously described as hard rock, blues rock and heavy metal, although the band calls it simply ""rock and roll"". They are cited as a formative influence on the new wave of British heavy metal bands. The band was inducted into the Rock and Roll Hall of Fame in 2003 and have sold over 200 million records worldwide, maki"
AVTT/PTTN,https://upload.wikimedia.org/wikipedia/commons/3/37/Avett_Brothers%2C_Red_Rocks_Amphitheater%2C_Morrison_Colorado%2C_July_10%2C_2022_%282%29.jpg,,https://en.wikipedia.org/wiki/The_Avett_Brothers,"The Avett Brothers are an American folk rock band from Concord, North Carolina. The band is made up of two brothers, Scott Avett and Seth Avett along with Bob Crawford and Joe Kwon. Mike Marsh (drums), Tania Elizabeth (fiddle) and Bonnie Avett-Rini (piano) are touring members of the band."
Adam Sandler,https://upload.wikimedia.org/wikipedia/commons/1/1f/Jackie_Sandler_Adam_Sandler_Jay_Kelly-36_%283x4%29.jpg,,https://en.wikipedia.org/wiki/Adam_Sandler,"Adam Richard Sandler is an American actor, comedian, filmmaker, and musician. Primarily a comedic leading actor in films, his accolades include an Independent Spirit Award, alongside nominations for three Grammy Awards, seven Primetime Emmy Awards, three Golden Globe Awards, and a Screen Actors Guild Award. In 2023, Sandler was awarded the Mark Twain Prize for American Humor."
Alice in Chains,https://upload.wikimedia.org/wikipedia/commons/8/83/Alice_in_Chains_2019.jpg,,https://en.wikipedia.org/wiki/Alice_in_Chains,"Alice in Chains is an American rock band formed in Seattle in 1987. Since 2006, the band's lineup has consisted of vocalist/guitarists Jerry Cantrell and William DuVall, bassist Mike Inez, and drummer Sean Kinney. Vocalist Layne Staley and bassist Mike Starr are former members of the band. Often associated with grunge music, Alice in Chains' sound and style is rooted in heavy metal. The band is kn"
Avenged Sevenfold,https://upload.wikimedia.org/wikipedia/commons/c/ca/Avenged_Sevenfold_2.jpg,,https://en.wikipedia.org/wiki/Avenged_Sevenfold,"Avenged Sevenfold is an American heavy metal band from Huntington Beach, California, formed in 1999. The band's current lineup consists of vocalist M. Shadows, guitarists Zacky Vengeance and Synyster Gates, bassist Johnny Christ, and drummer Brooks Wackerman."
Bad Omens,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Bad_Omens_playing_Hell_and_Heaven_Festival.jpg/3840px-Bad_Omens_playing_Hell_and_Heaven_Festival.jpg,,https://en.wikipedia.org/wiki/Bad_Omens,"Bad Omens is an American heavy metal band from Richmond, Virginia. Their style is primarily metalcore and alternative metal, while their more recent music also includes R&B and electronic elements. Formed in 2015 by vocalist and producer Noah Sebastian, guitarist Nicholas Ruffilo, and bassist Vincent Riquier, the band was later joined by guitarist and producer Joakim ""Jolly"" Karlsson and drummer N"
Bon Jovi,https://upload.wikimedia.org/wikipedia/commons/e/e5/Bonjoviband2013.png,,https://en.wikipedia.org/wiki/Bon_Jovi,"Bon Jovi is an American rock band formed in Sayreville, New Jersey in 1983. The band consists of singer Jon Bon Jovi, keyboardist David Bryan, drummer Tico Torres, guitarists John Shanks and Phil X, percussionist Everett Bradley, and bassist Hugh McDonald. Original bassist Alec John Such left the band in 1994, and longtime guitarist and co-songwriter Richie Sambora left in 2013."
Breaking Benjamin,https://upload.wikimedia.org/wikipedia/commons/3/38/Breaking_Benjamin_2-14-15.jpg,,https://en.wikipedia.org/wiki/Breaking_Benjamin,"Breaking Benjamin is an American rock band from Wilkes-Barre, Pennsylvania, formed in 1999 by lead singer and guitarist Benjamin Burnley and drummer Jeremy Hummel. The first lineup of the band also included guitarist Aaron Fink and bassist Mark James Klepaski. This lineup released two albums, Saturate (2002) and We Are Not Alone (2004), before Hummel was replaced by Chad Szeliga in 2005. The band"
Bush,https://upload.wikimedia.org/wikipedia/commons/b/bb/Bush_at_Freedom_Mortgage_Pavilion.jpg,,https://en.wikipedia.org/wiki/Bush_(British_band),"Bush are an English rock band formed in London in 1992. As of 2025, their lineup consists of lead vocalist and rhythm guitarist Gavin Rossdale, lead guitarist Chris Traynor, bassist Corey Britz, and drummer Nik Hughes."
Candlebox,https://upload.wikimedia.org/wikipedia/commons/c/c6/Candlebox_2009_Aberdeen_1.jpg,,https://en.wikipedia.org/wiki/Candlebox,"Candlebox is an American rock band from Seattle, Washington. Since its formation in 1990, the group has released eight studio albums, several charting singles, a compilation, and a CD+DVD."
Chris Cornell,https://upload.wikimedia.org/wikipedia/commons/5/58/ChrisCornellTIFFSept2011.jpg,,https://en.wikipedia.org/wiki/Chris_Cornell,"Christopher John Cornell was an American musician, best known as the lead vocalist, rhythm guitarist, and the primary lyricist for the rock bands Soundgarden and Audioslave. He also had a solo career and contributed to numerous movie soundtracks. Cornell was the founder and frontman of Temple of the Dog, a one-off tribute band dedicated to his late friend, musician Andrew Wood. Several music journ"
Creed,https://upload.wikimedia.org/wikipedia/commons/1/16/Creed-2023.jpg,,https://en.wikipedia.org/wiki/Creed_(band),"Creed is an American rock band formed in Tallahassee, Florida, in 1994. Creed was prominent in the post-grunge movement of the late 1990s and early 2000s, releasing three consecutive multi-platinum albums. Human Clay (1999), the band's second studio album, received diamond certification by the Recording Industry Association of America (RIAA). Creed has sold over 28 million records in the United St"
Def Leppard/Journey,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Vivian_Campbell_%28Def_Leppard%29_au_Hellfest_2019.jpg/3840px-Vivian_Campbell_%28Def_Leppard%29_au_Hellfest_2019.jpg,,https://en.wikipedia.org/wiki/Def_Leppard_discography,"The English rock band Def Leppard have released 12 studio albums, four live albums, six compilation albums, and two extended plays. Def Leppard also have sold more than 100 million records worldwide, making them one of the best-selling music artists of all time."
Deftones,https://upload.wikimedia.org/wikipedia/commons/1/1b/Deftones2011.jpg,,https://en.wikipedia.org/wiki/Deftones,"Deftones is an American alternative metal band formed in Sacramento, California, in 1988. They were formed by frontman Chino Moreno, lead guitarist Stephen Carpenter and drummer Abe Cunningham, with bassist Chi Cheng and keyboardist and turntablist Frank Delgado joining the lineup in 1990 and 1999, respectively."
