id,date,dayOfWeek,artist,city,state,venue,attendedWith,hasPoster,setlistLink,tourName,openingActs,notes
0,1998-04-10,Friday,Squirrel Nut Zippers,Waterville,ME,Colby College,Eric S.,No,,College and University Independant Tour,Hobex,
1,1999-11-07,Sunday,Mr. Bungle,Providence,RI,Lupos,"Mark F., Justin L.",No,https://www.setlist.fm/setlist/mr-bungle/1999/lupos-heartbreak-hotel-providence-ri-73db568d.html,California Tour,,
2,2000-02-15,Tuesday,System of a Down,Providence,RI,Lupos,,No,https://www.setlist.fm/setlist/system-of-a-down/2000/lupos-heartbreak-hotel-providence-ri-7bd63e94.html,Snocore 99 Tour,"Mr. Bungle, Incubus",Co-headline tour with Mr. Bungle
3,2000-02-22,Tuesday,Chris Cornell,Providence,RI,Lupos,Justin L.,No,https://www.setlist.fm/setlist/chris-cornell/2000/lupos-heartbreak-hotel-providence-ri-4bc2ab8a.html,Euphoria Morning Tour,,
4,2000-04-13,Thursday,Run DMC,North Providence,RI,Rhode Island College,,No,https://www.setlist.fm/setlist/rundmc/2000/roberts-auditorium-rhode-island-college-providence-ri-33b4780d.html,Crown Royal Tour,Imani,
5,2000-10-19,Thursday,Disturbed,New York,NY,WWF New York,,No,https://www.setlist.fm/setlist/disturbed/2000/wwf-new-york-new-york-ny-bd26d5a.html,The Sickness,"Glassjaw, Nonpoint, From Zero, 6 Gig",CMJ Fest
6,2000-10-20,Friday,Tenacious D,New York,NY,Irving Plaza,,No,https://www.setlist.fm/setlist/tenacious-d/2000/irving-plaza-new-york-ny-13da95bd.html,CMJ Fest 2000,,Met Tenacious D!
7,2002-12-02,Monday,Guns N' Roses,Boston,MA,Fleet Center,Jason C.,No,https://www.setlist.fm/setlist/guns-n-roses/2002/fleet-center-boston-ma-53d6df61.html,Chinese Democracy Tour 01/02,"CKY, Mix Master Mike",
8,2003-01-11,Saturday,Ben Folds,Providence,RI,Lupos,,No,https://www.setlist.fm/setlist/ben-folds/2003/lupos-heartbreak-hotel-providence-ri-43dbbfff.html,Rockin' the Suburbs,,Can't remember who I went to this show with!
9,2004-04-30,Friday,A Perfect Circle,Worcester,MA,Worcester's Centrum Centre,Dana K.,No,https://www.setlist.fm/setlist/a-perfect-circle/2004/worcesters-centrum-centre-worcester-ma-23d4b4eb.html,Thirteenth Step Tour,The Mars Volta,Early Date with Dana
