id,date,artist,illustrator,location,type,variant,number,tourShowSpecific,autographed,framed,attended,forSale,notes,expressobeansLink
0,2010-07-05,Faith No More,Gary Baseman,Brooklyn,AP,Green Edition,21/70,Day of Show,No,Yes,Yes,No,,https://expressobeans.com/public/detail.php/123494
1,2012-07-01,Roger Waters,Gerald Scarfe,Boston,SE,,Unnumbered,Tour,No,Yes,Yes,No,,https://expressobeans.com/public/detail.php/151915
2,2013-10-21,Nine Inch Nails,"Rob Sheridan, Russell Mills",Raleigh,SE,,Unnumbered,Tour,No,No,Yes,No,,https://expressobeans.com/public/detail.php/179172
3,2014-01-30,Queens of the Stone Age,"Arens, Kii, Plastic Jesus",Raleigh,AP,,67/100,Day of Show,No,No,Yes,No,,https://expressobeans.com/public/detail.php/186961
4,2014-07-12,Queens of the Stone Age,Brad Klausen,Providence,AP,,49/69,Day of Show,No,Yes,Yes,No,,https://expressobeans.com/public/detail.php/194219
5,2014-08-11,Nine Inch Nails / Soundgarden,Ames Brothers,Tampa,AP,,40/115,Day of Show,No,Yes,Yes,No,,https://expressobeans.com/public/detail.php/194934
6,2014-09-17,Jack White,Rob Jones,Boston,SE,,Unnumbered,Day of Show,No,Yes,Yes,No,,https://expressobeans.com/public/detail.php/196278
7,2015-05-11,Faith No More,Sket One,Boston,AP,Sparkle Foil,16/20,Day of Show,No,Yes,Yes,No,Incorrect Show Date on Poster,https://expressobeans.com/public/detail.php/208452
8,2015-06-23,Faith No More,Robert Bowen,Hamburg,AP,,Unnumbered,Day of Show,No,No,No,Yes,,https://expressobeans.com/public/detail.php/209954
9,2015-07-19,Foo Fighters,Todd Slater,Boston,SE,Gold Foil,25/50,Day of Show,No,Yes,Yes,No,,https://expressobeans.com/public/detail.php/211539
10,2015-07-31,Faith No More,Jared Connor,Raleigh,SE,,81/135,Day of Show,No,Yes,Yes,No,,https://expressobeans.com/public/detail.php/212319
11,2015-11-10,Puscifer,Pale Horse,Charlotte,SE,,70/179,Day of Show,Yes,Yes,Yes,No,Signed by MJK only,https://expressobeans.com/public/detail.php/218675
12,2016-01-26,Tool,Adi Granov,Charlotte,SE,,295/400,Day of Show,No,Yes,Yes,No,,https://expressobeans.com/public/detail.php/222040
13,2016-04-19,Puscifer,Gregg Gordon,Raleigh,SE,,Unnumbered,Day of Show,Yes,Yes,Yes,No,,https://expressobeans.com/public/detail.php/225691
14,2016-06-11,Pearl Jam,Steve Thomas,Manchester,SE,,Unnumbered,Day of Show,No,No,No,Yes,Bonnaroo,https://expressobeans.com/public/detail.php/225439
15,2016-10-15,Van Morrison,Neal Williams,Santa Barbara,AP,,Unnumbered,Day of Show,No,No,No,Yes,,
16,2017-05-19,Metallica,Ames Brothers,Boston,SE,,139/650,Day of Show,No,Yes,Yes,No,,https://expressobeans.com/public/detail.php/240144
17,2017-05-24,Tool,Adam Jones,Fairfax,SE,,224/500,Day of Show,Yes,No,Yes,No,Damaged (Trimmed and dented),https://expressobeans.com/public/detail.php/290999
18,2017-05-24,Tool,Adam Jones,Fairfax,SE,,Unknown,Day of Show,No,Yes,Yes,No,In Austin's Physical Location,https://expressobeans.com/public/detail.php/290999
19,2017-07-18,Primus,Don Pendleton,Raleigh,AP,Cream,15/30,Day of Show,No,No,Yes,No,,https://expressobeans.com/public/detail.php/244095
20,2017-08-11,Guns N' Roses,Ulrich Planer,Winston Salem,SE,,46/275,Day of Show,No,No,Yes,No,Damaged (thumbtacks 📌 4 corners),https://expressobeans.com/public/detail.php/244301
21,2017-09-27,Roger Waters,Angryblue (Justin Kamerer),Boston,AP,,Unnumbered,Tour,No,Yes,Yes,No,,https://expressobeans.com/public/detail.php/253928
22,2017-10-10,Queens of the Stone Age,Emek,Morrison,SE,,Unnumbered,Day of Show,No,Yes,Yes,No,Fucking Red Rocks!!!,https://expressobeans.com/public/detail.php/247251
23,2018-05-18,Rock on the Range,Angryblue (Justin Kamerer),Columbus,AP,,Unnumbered,Festival,No,Yes,Yes,No,,
24,2018-05-20,Tool,Adi Granov,Columbus,SE,,192/780,Day of Show,Yes,Yes,Yes,No,,https://expressobeans.com/public/detail.php/281506
25,2018-09-04,Pearl Jam,Ian Williams,Boston,SE,,Unnumbered,Day of Show,No,Yes,Yes,No,,https://expressobeans.com/public/detail.php/265755
26,2018-11-01,A Perfect Circle,Jamie Koala,Charlotte,AP,,Unnumbered,Day of Show,No,Yes,Yes,No,Artist Remarqued,https://expressobeans.com/public/detail.php/323469
27,2018-11-01,A Perfect Circle,,Charlotte,VIP Poster,,Unnumbered,Day of Show,Yes,Yes,Yes,No,,
28,2019-01-28,Metallica,Ames Brothers,Raleigh,SE,,348/350,Day of Show,No,No,Yes,No,,https://expressobeans.com/public/detail.php/274618
29,2019-01-28,Metallica,Erica Williams,Raleigh,SE,,Unnumbered,Day of Show,No,Yes,Yes,No,,https://expressobeans.com/public/detail.php/273538
30,2019-03-12,Elton John,David LaChapelle,Raleigh,SE,,Unnumbered,Tour,No,No,Yes,No,,https://expressobeans.com/public/detail.php/301920
31,2019-04-06,KISS,Hatch Show Print,Raleigh,SE,,Unnumbered,Tour,No,No,Yes,No,,
32,2019-05-10,Epicenter,Nathaniel Deas,Rockingham,AP,,Unnumbered,Festival,No,Yes,Yes,No,,https://expressobeans.com/public/detail.php/306265
33,2019-09-25,Guns N' Roses,Arian Buhler,Charlotte,SE,,196/250,Day of Show,No,No,Yes,No,Damaged (dented),
